address,description,lat,lng
"21-23, PRENTISS ST, Watertown, MA, 02472",1st fl kitchen remodel; demo 2 partition walls; new windows ,42.373449,-71.15561
"76, ROBBINS RD, Watertown, MA, 02472","Demo porch & construct FOUNDATION only for new addition as per 
plans ",42.372999,-71.177463
"45, RUTLAND ST, Watertown, MA, 02472","Replace 32"" doors; handicap ramp ",42.371956,-71.20545
"130, SCHOOL ST, Watertown, MA, 02472","Remove & replace front porches 1st/2nd floors, same dimensions 7' x 27' ",42.367196,-71.16618199999999
"149, STANDISH RD, Watertown, MA, 02472",Closed cell spray foam insulation in attic ,42.378361,-71.17794099999999
"15, SUNNYBANK RD, Watertown, MA, 02472",2nd Fl deck repair - 9'x19' ,42.372672,-71.16520899999999
"17-19, TOWNLY RD, Watertown, MA, 02472",Construct new addition to rear of house ,42.3817849,-71.1972152
"7, WHEELER CT, Watertown, MA, 02472",Insulate attic flat to R-38 ,42.36611389999999,-71.1561237
"5  7, WOLLITZER LN, Watertown, MA, 02472",Strip & reroof ,42.368773,-71.192596
"9, YORK AV, Watertown, MA, 02472",Remove and rebuild 2-story porch ,42.379999,-71.183345
"485, ARSENAL ST (aka 
617 Arsenal St., Watertown, MA, 02472","Int. demo & conversion of  existing restaurant for new tenant, Miller's Ale 
House (former Bugaboo Steakhouse) ",42.3622661,-71.15230369999999
"98, BARNARD AV, Watertown, MA, 02472","Interior renovations 1st, 2nd, 3rd floors as per plans ",42.372922,-71.176406
"80, CAPITOL ST, Watertown, MA, 02472",Kitchen remodel ,42.3618163,-71.1892555
"29-31, CHANDLER ST, Watertown, MA, 02472",Install replacement windows ,42.384261,-71.193111
"140, CHURCH ST, Watertown, MA, 02472","3rd Fl: install skylights in attic for future bedroom suite, insulate rafter space 
w/spray foam; rough in elec/plumbing ",42.3710179,-71.18089259999999
"219, COMMON ST, Watertown, MA, 02472",Replace existing deck 7' x 15' ,42.375422,-71.177007
"35-37, COTTAGE ST, Watertown, MA, 02472",Strip & reroof ,42.372538,-71.15096299999999
"2, LOCUST LN, Watertown, MA, 02472","1st Fl: Kitchen remodel, renovate 1/2 bath; 2nd Fl: renovate 2 baths, new 
stair treads &  misc. finish work ",42.374427,-71.194827
"480, PLEASANT ST, Watertown, MA, 02472","Remove & replace existing windows basement & 1st floor as shown on 
plans ",42.366448,-71.20505299999999
"45, RUTLAND ST, Watertown, MA, 02472","Replace 32"" doors; handicap ramp ",42.371956,-71.20545
"20, THURSTON RD, Watertown, MA, 02472","Basement: plumbing repairs; 2nd Fl: finish off exist. Walk-up second floor 
attic for 1 additional 1/2 bath & 1 bedroom by an 8' dormer ",42.3623483,-71.1814644
"22, WARWICK RD, Watertown, MA, 02472","1st Fl: kit remodel: demo of all horse hair plaster; insulate; new drywall, 
kitchen cabs ",42.3793999,-71.181215
